id,link,title
10,https://www.booking.com/hotel/my/expressionz-roof-top-skypool.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=451&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799752&all_sr_blocks=829030101_347487715_2_0_0&highlighted_blocks=829030101_347487715_2_0_0&matching_block_id=829030101_347487715_2_0_0&sr_pri_blocks=829030101_347487715_2_0_0__15300&tpi_r=2&from=searchresults#hotelTmpl,"Expressionz Roof top skypool
Opens in new window"
11,https://www.booking.com/hotel/my/parc-residence-by-success-wisdom-du-jia-zhi-fu.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=435&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799749&all_sr_blocks=843926601_351260644_6_0_0&highlighted_blocks=843926601_351260644_6_0_0&matching_block_id=843926601_351260644_6_0_0&sr_pri_blocks=843926601_351260644_6_0_0__36000&tpi_r=2&from=searchresults#hotelTmpl,"Home Sweet Home #Sunway Velocity #Pudu Ulu KL by Success Wisdom 度假智富
Opens in new window"
12,https://www.booking.com/hotel/my/five-senses-suite-dorsett-hartamas.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=27&hapos=127&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799707&all_sr_blocks=573024401_351244816_2_0_0&highlighted_blocks=573024401_351244816_2_0_0&matching_block_id=573024401_351244816_2_0_0&sr_pri_blocks=573024401_351244816_2_0_0__70000&from=searchresults#hotelTmpl,"Dorsett Sri Hartamas KL by Roam
Opens in new window"
13,https://www.booking.com/hotel/my/star-residence-klcc-kuala-lumpur.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=443&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799749&all_sr_blocks=836235101_349127086_2_0_0&highlighted_blocks=836235101_349127086_2_0_0&matching_block_id=836235101_349127086_2_0_0&sr_pri_blocks=836235101_349127086_2_0_0__30694&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Star Residence KLCC
Opens in new window"
14,https://www.booking.com/hotel/my/dorsett-residences-raintree-at-bukit-bintang-kl-kuala-lumpur.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=213&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799721&all_sr_blocks=819538801_344582836_4_0_0&highlighted_blocks=819538801_344582836_4_0_0&matching_block_id=819538801_344582836_4_0_0&sr_pri_blocks=819538801_344582836_4_0_0__94500&tpi_r=2&from=searchresults#hotelTmpl,"Dorsett Residence Service Suite At Bukit Bintang KL
Opens in new window"
15,https://www.booking.com/hotel/my/platinum-serviced-suite-klcc.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799690&all_sr_blocks=723844607_310016627_6_2_0&highlighted_blocks=723844607_310016627_6_2_0&matching_block_id=723844607_310016627_6_2_0&sr_pri_blocks=723844607_310016627_6_2_0__80910&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Platinum Serviced Suite Klcc
Opens in new window"
16,https://www.booking.com/hotel/my/promo-theripplesuites-at-the-robertson.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=235&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799724&all_sr_blocks=813018601_344553618_7_0_0&highlighted_blocks=813018601_344553618_7_0_0&matching_block_id=813018601_344553618_7_0_0&sr_pri_blocks=813018601_344553618_7_0_0__19000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Robertson By TheRippleSuites With Netflix
Opens in new window"
17,https://www.booking.com/hotel/my/platinum-suite-at-trx-bukit-bintang-klcc.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=367&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799740&all_sr_blocks=837317501_349558415_4_0_0&highlighted_blocks=837317501_349558415_4_0_0&matching_block_id=837317501_349558415_4_0_0&sr_pri_blocks=837317501_349558415_4_0_0__27000&tpi_r=2&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Continew Service Apartment by WelStay
Opens in new window"
18,https://www.booking.com/hotel/my/2-4pax-revo-aurora-place-bukit-jalil-wifi-tvbox.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=101&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799707&all_sr_blocks=812042904_343475247_3_0_0&highlighted_blocks=812042904_343475247_3_0_0&matching_block_id=812042904_343475247_3_0_0&sr_pri_blocks=812042904_343475247_3_0_0__57000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Revo Home at Pavilion Bukit Jalil
Opens in new window"
19,https://www.booking.com/hotel/my/somerset-ampang-kuala-lumpur.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799690&all_sr_blocks=25752205_298689805_0_2_0&highlighted_blocks=25752205_298689805_0_2_0&matching_block_id=25752205_298689805_0_2_0&sr_pri_blocks=25752205_298689805_0_2_0__24000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Somerset Kuala Lumpur
Opens in new window"
20,https://www.booking.com/hotel/my/gulshan.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=163&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799714&all_sr_blocks=166688210_335451060_0_0_0&highlighted_blocks=166688210_335451060_0_0_0&matching_block_id=166688210_335451060_0_0_0&sr_pri_blocks=166688210_335451060_0_0_0__10710&tpi_r=2&from=searchresults#hotelTmpl,"Hotel Gulshan
Opens in new window"
21,https://www.booking.com/hotel/my/swiss-garden-residence-bukit-bintang-bukit-bintang.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799698&all_sr_blocks=368700404_342032419_6_0_0&highlighted_blocks=368700404_342032419_6_0_0&matching_block_id=368700404_342032419_6_0_0&sr_pri_blocks=368700404_342032419_6_0_0__225000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Swiss Garden Residence Kuala Lumpur
Opens in new window"
22,https://www.booking.com/hotel/my/the-face-platinum-suites-kuala-lumpur12345.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=95&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799705&all_sr_blocks=716540001_351402669_2_0_0&highlighted_blocks=716540001_351402669_2_0_0&matching_block_id=716540001_351402669_2_0_0&sr_pri_blocks=716540001_351402669_2_0_0__30000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Platinum Suites KLCC by SS Residence
Opens in new window"
23,https://www.booking.com/hotel/my/kl-bukit-bintang-apartment-at-times-square.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=60&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799702&all_sr_blocks=358948801_172718337_2_2_0&highlighted_blocks=358948801_172718337_2_2_0&matching_block_id=358948801_172718337_2_2_0&sr_pri_blocks=358948801_172718337_2_2_0__20610&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Bintang Service Suite at Times Square
Opens in new window"
24,https://www.booking.com/hotel/my/service-apartment-jalan-tun-razak.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=343&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799736&all_sr_blocks=828375801_347367824_2_0_0&highlighted_blocks=828375801_347367824_2_0_0&matching_block_id=828375801_347367824_2_0_0&sr_pri_blocks=828375801_347367824_2_0_0__10368&tpi_r=2&from=searchresults#hotelTmpl,"hotel near IJN,ROOF TOP SWIMMING POOL
Opens in new window"
25,https://www.booking.com/hotel/my/king-suite-one-ceylon-by-four-pillars-suite.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=210&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799721&all_sr_blocks=829230601_347521562_3_0_0&highlighted_blocks=829230601_347521562_3_0_0&matching_block_id=829230601_347521562_3_0_0&sr_pri_blocks=829230601_347521562_3_0_0__15750&tpi_r=2&from=searchresults#hotelTmpl,"King Suite at One Ceylon by 4 Pillars Suite
Opens in new window"
26,https://www.booking.com/hotel/my/cairnhill-kuala-lumpur.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=90&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799705&all_sr_blocks=77534202_264817407_0_2_0&highlighted_blocks=77534202_264817407_0_2_0&matching_block_id=77534202_264817407_0_2_0&sr_pri_blocks=77534202_264817407_0_2_0__11160&from=searchresults#hotelTmpl,"Cairnhill Hotel Kuala Lumpur
Opens in new window"
27,https://www.booking.com/hotel/my/queensville-studio-in-kuala-lumpur.html?label=gen173nr-1DCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtjIlJMGwAIB0gIkMzAzZjI1ZDctMWQ2OC00ZTVlLThhMjktODFlMmU0ODM1YzJi2AIE4AIB&sid=c0c4fa1b3998ad2ba1e107af925aafc1&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-02&dest_id=-2403010&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=151&sr_order=popularity&srpvid=a11c50a4508e027a&srepoch=1650799710&all_sr_blocks=833407702_348623743_2_0_0&highlighted_blocks=833407702_348623743_2_0_0&matching_block_id=833407702_348623743_2_0_0&sr_pri_blocks=833407702_348623743_2_0_0__18900&tpi_r=2&from=searchresults#hotelTmpl,"Queensville Studio in Kuala Lumpur
Opens in new window"
