8.0,7.0,7.5,7.4,7.1,7.7,7.3,"Duta Hotel & Residence
Opens in new window",33
8.2,8.2,7.9,8.1,7.9,7.7,8.2,7.5,"Leo Palace New Wing, WTC Kuala Lumpur
Opens in new window",36
8.0,6.9,6.8,7.5,7.6,8.5,10.0,6.7,"Lexus Service Suite
Opens in new window",37
8.5,8.1,8.3,8.2,8.3,8.8,7.8,"Vortex Suites KLCC by Luna
Opens in new window",0
7.8,7.6,7.6,7.9,7.9,8.7,8.8,7.8,"Binjai 8 KLCC @ De Space Suite
Opens in new window",1
8.8,8.9,8.9,8.6,8.7,8.5,8.2,8.5,"THE FACE Suites
Opens in new window",2
8.1,7.5,7.9,8.1,7.8,7.5,10.0,7.2,"D'Majestic Premier Suites Kuala Lumpur
Opens in new window",4
8.7,7.8,8.0,7.8,8.3,8.9,10.0,7.6,"Greystone Swiss Garden Residence
Opens in new window",9
7.0,8.5,8.5,8.5,8.5,8.1,7.6,"Wonderful Blue City View @Regalia Residence
Opens in new window",10
8.3,7.3,7.6,7.7,7.4,7.6,7.1,7.1,"Arte Plus KLCC By DreamScape
Opens in new window",11
7.6,7.9,7.8,7.6,7.5,9.0,7.5,"Soho Suites at Kuala Lumpur City Centre
Opens in new window",13
9.2,9.0,9.4,9.5,9.3,9.0,10.0,9.0,"Aurora Pavilion Bukit Jalil by Ody Suites
Opens in new window",14
8.1,7.1,6.8,7.4,6.9,6.6,7.0,6.7,"My Hotel @ Bukit Bintang
Opens in new window",5
10.0,"Pinnacle Sri Petaling
Opens in new window",8
8.5,8.4,8.4,8.5,8.6,8.5,8.2,"KLCC Inifinity Pool - The Regalia Residences & Suites by KL minsu
Opens in new window",9
8.7,8.4,8.2,8.5,8.6,8.3,8.2,8.0,"Dorsett Sri Hartamas KL by Roam
Opens in new window",12
9.0,8.5,8.7,8.7,8.5,8.4,9.4,8.3,"Platinum Serviced Suite Klcc
Opens in new window",15
9.2,9.2,9.5,9.8,9.8,9.8,10.0,9.2,"Revo Home at Pavilion Bukit Jalil
Opens in new window",18
8.9,9.0,8.8,9.0,8.8,8.7,8.8,8.6,"Somerset Kuala Lumpur
Opens in new window",19
8.0,7.6,7.3,7.1,7.2,6.8,7.3,6.8,"Hotel Gulshan
Opens in new window",20
8.1,7.7,8.0,7.9,8.1,8.4,7.6,7.6,"Swiss Garden Residence Kuala Lumpur
Opens in new window",21
8.6,8.7,8.8,8.7,8.7,9.1,9.4,8.5,"Platinum Suites KLCC by SS Residence
Opens in new window",22
8.9,7.6,7.8,7.8,7.8,7.5,7.2,7.6,"Bintang Service Suite at Times Square
Opens in new window",23
7.7,7.3,6.9,7.0,7.0,6.6,6.6,6.6,"Cairnhill Hotel Kuala Lumpur
Opens in new window",26
8.3,7.1,6.7,7.1,6.2,8.3,6.3,"City Kuchai Hotel -Kuchai Lama,Kuala Lumpur
Opens in new window",31
8.4,8.5,8.7,8.5,8.5,9.1,7.5,8.5,"Dorsett Bukit Bintang Residence by De Space
Opens in new window",34
8.6,8.0,8.4,8.4,8.4,8.9,8.4,8.0,"NU Hotel @ KL Sentral
Opens in new window",37
9.1,8.9,8.8,9.5,9.1,9.6,8.8,"City Homes @ Star Suites KLCC
Opens in new window",38
8.1,6.7,7.7,7.5,7.3,8.3,6.2,7.0,"Vivids Hotel
Opens in new window",39
